Keyword,Volume,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous average position,Current average position,Position change,Current locations,Locations change,Top location code,Top location,Top location's volume,Top location's traffic,Top location's traffic change
python load yaml file,240,7,13,6,,5.25,5.60,0.35,5,1,DE,Germany,240,13,6
what is echo command in linux,130,11,13,2,,6.00,5.50,-0.50,2,,IN,India,130,13,2
python load yaml,240,13,13,1,,6.22,5.50,-0.72,8,-1,US,United States,240,13,1
bash read command,150,15,13,-2,,5.00,6.00,1.00,1,,US,United States,150,13,-2
generate sbom from container image,100,16,13,-3,,2.00,3.00,1.00,1,,US,United States,100,13,-3
miniconda create environment,100,13,13,0,,4.00,3.00,-1.00,1,,US,United States,100,13,0
gradle monorepo,40,5,13,8,,2.00,1.00,-1.00,1,,US,United States,40,13,8
portainer kubernetes,260,14,13,-1,,6.80,6.60,-0.20,5,,DE,Germany,260,13,-1
docker volumes,2110,13,13,0,,10.33,12.50,2.17,10,-2,IN,India,2110,13,0
python yaml dump,190,11,13,2,,6.17,6.00,-0.17,6,,DE,Germany,190,13,2
mitm proxy,500,12,12,0,,7.48,7.16,-0.32,19,-4,US,United States,500,12,0
git advanced commands,80,12,12,0,,2.50,2.50,0.00,2,,IN,India,80,12,0
pnpm vs npm,2720,14,12,-1,,9.00,12.40,3.40,5,1,IN,India,2720,12,-1
echo linux command,140,12,12,0,,3.80,3.80,0.00,5,,IN,India,140,12,0
bash conditional statements,110,12,12,0,,4.75,4.25,-0.50,4,,US,United States,110,12,0
how to use k9s,100,12,12,0,,4.00,4.00,0.00,1,,US,United States,100,12,0
what is portainer,450,14,12,-1,,10.33,10.50,0.17,2,-1,US,United States,450,12,-1
golang zip,110,12,12,0,,4.00,4.00,0.00,2,,US,United States,110,12,0
what does echo do in linux,240,13,12,-1,,4.00,5.00,1.00,2,,US,United States,240,12,-1
where are docker images stored,370,13,12,-1,,7.67,8.00,0.33,9,,US,United States,370,12,-1
python data class,670,9,12,3,,10.11,10.33,0.22,6,-3,US,United States,670,12,3
sbom for containers,150,12,12,0,,5.50,5.50,0.00,2,,US,United States,150,12,0
argocd vs fluxcd,110,11,12,1,,4.00,4.50,0.50,2,,US,United States,110,12,1
g++ makefile,30,14,12,-3,,1.00,1.00,0.00,1,,US,United States,30,12,-3
github actions composite,90,12,12,0,,3.00,3.00,0.00,2,,US,United States,90,12,0
python ast,520,15,12,-3,,7.09,7.40,0.31,10,-1,IN,India,520,12,-3
bala priya c,100,11,11,0,,3.00,3.00,0.00,1,,IN,India,100,11,0
concatenate two lists python,230,7,11,5,,7.50,7.20,-0.30,10,2,IT,Italy,230,11,5
echo in linux,220,7,11,5,,6.00,5.25,-0.75,4,,IN,India,220,11,5
python subprocess run,1550,9,11,3,,22.75,24.50,1.75,4,,DE,Germany,1550,11,3
terraform aws_route53_record,180,12,11,0,,7.00,7.33,0.33,3,,US,United States,180,11,0
read csv file python,550,32,11,-21,,8.00,8.56,0.56,9,-2,GB,United Kingdom,550,11,-21
how to run a makefile in vscode,30,11,11,0,,2.00,2.00,0.00,1,,US,United States,30,11,0
conditionals in bash,30,11,11,0,,1.00,1.00,0.00,1,,US,United States,30,11,0
abc python,320,10,11,0,,13.50,10.00,-3.50,2,,US,United States,320,11,0
powerlevel10k zsh,350,,11,,,,9.00,,1,1,US,United States,350,11,
golang gorm,210,11,11,0,,6.36,6.23,-0.13,13,-1,US,United States,210,11,0
ci free,30,11,11,0,,1.00,1.00,0.00,1,,US,United States,30,11,0
container sbom,100,11,11,0,,4.00,4.00,0.00,1,,US,United States,100,11,0
echo linux,550,10,10,0,,9.50,10.88,1.38,8,-2,BR,Brazil,550,10,0
python abstract base class,170,12,10,-2,,8.50,8.50,0.00,2,,US,United States,170,10,-2
jq example,220,3,10,7,,6.67,7.14,0.48,7,4,DE,Germany,220,10,7
reading csv file in python,40,17,10,-7,,7.00,5.80,-1.20,5,-2,GB,United Kingdom,40,10,-7
docker volume create,230,10,10,0,,8.43,8.17,-0.26,6,-1,DE,Germany,230,10,0
docker create volume,250,13,10,-3,,8.40,8.44,0.04,9,-1,DE,Germany,250,10,-3
load yaml file python,150,6,10,4,,5.00,5.50,0.50,6,1,GB,United Kingdom,150,10,4
how to run makefile in vscode,30,10,10,0,,2.00,2.00,0.00,1,,US,United States,30,10,0
install cmake windows,50,10,10,0,,3.42,3.92,0.50,12,,US,United States,50,10,0
python concat two lists,210,5,10,5,,9.00,8.12,-0.88,8,3,US,United States,210,10,5
composite actions,70,10,10,0,,2.00,2.00,0.00,1,,US,United States,70,10,0
create yum repository,80,8,10,1,,3.00,3.00,0.00,1,,US,United States,80,10,1
named tuple python,440,8,9,1,,9.57,8.18,-1.39,11,4,GB,United Kingdom,440,9,1
bash echo commands,170,6,9,3,,8.00,6.00,-2.00,2,,US,United States,170,9,3
what is echo in linux,130,10,9,-1,,5.00,5.33,0.33,3,,US,United States,130,9,-1
bazel query,120,9,9,0,,6.00,6.50,0.50,2,,US,United States,120,9,0
argo vs flux,80,9,9,0,,4.00,4.00,0.00,1,,US,United States,80,9,0
bash conditional,240,8,9,1,,6.75,6.12,-0.62,8,,BR,Brazil,240,9,1
argo cd vs flux,100,9,9,0,,5.00,5.00,0.00,1,,US,United States,100,9,0
advanced git commands,60,9,9,0,,2.50,2.50,0.00,2,,IN,India,60,9,0
pushd command,180,8,9,1,,3.50,5.50,2.00,2,,US,United States,180,9,1
read yaml python,130,10,9,-1,,5.25,5.38,0.12,8,,US,United States,130,9,-1
golang tui,120,11,9,-2,,6.00,5.75,-0.25,4,-4,US,United States,120,9,-2
sed replace,800,4,9,5,,10.50,10.71,0.21,7,-1,US,United States,800,9,5
if statements in bash,70,4,9,5,,7.00,3.00,-4.00,1,,US,United States,70,9,5
cmake make,60,10,9,-2,,4.00,5.50,1.50,4,,DE,Germany,60,9,-2
uv python,17200,0,9,9,,44.00,31.75,-12.25,4,3,US,United States,17200,9,9
bazel monorepo,70,8,8,0,,3.00,3.00,0.00,1,,US,United States,70,8,0
github concurrency,70,8,8,0,,3.00,3.00,0.00,1,,US,United States,70,8,0
where are docker images stored linux,100,8,8,0,,6.00,5.00,-1.00,1,,US,United States,100,8,0
spinnaker kubernetes,90,9,8,-1,,4.00,3.67,-0.33,3,,US,United States,90,8,-1
cmake windows,430,8,8,0,,6.35,6.12,-0.23,16,-1,IN,India,430,8,0
pushd popd,230,8,8,0,,8.25,8.25,0.00,4,,US,United States,230,8,0
python open csv,100,9,8,-1,,7.25,6.40,-0.85,5,-3,GB,United Kingdom,100,8,-1
golang grpc example,90,9,8,-1,,4.00,5.00,1.00,2,,US,United States,90,8,-1
depends on terraform,310,7,8,1,,10.40,9.40,-1.00,5,,US,United States,310,8,1
pyinstaller tutorial,150,9,8,-1,,6.83,7.33,0.50,6,,US,United States,150,8,-1
golang makefile,90,8,8,0,,4.83,5.00,0.17,6,,US,United States,90,8,0
bash conditionals,300,7,8,1,,5.67,5.33,-0.33,6,,GB,United Kingdom,300,8,1
pushd,1750,6,8,2,,9.80,9.80,0.00,10,,IN,India,1750,8,2
signals in django,100,3,8,5,,11.00,6.00,-5.00,1,,IN,India,100,8,5
bash script if statement,150,8,8,0,,10.50,6.00,-4.50,1,-1,US,United States,150,8,0
bash read from file,140,9,8,-1,,6.43,6.71,0.29,7,,US,United States,140,8,-1
go makefile,110,8,8,0,,4.60,4.80,0.20,5,,US,United States,110,8,0
docker compose vs kubernetes,490,23,8,-15,,9.50,11.00,1.50,4,-6,US,United States,490,8,-15
jq to csv,150,8,,,,7.00,,,0,-1,US,United States,150,8,
bash format string,50,8,8,0,,2.33,2.67,0.33,3,,US,United States,50,8,0
github workflow concurrency,60,8,8,0,,4.00,3.00,-1.00,1,,US,United States,60,8,0
select jq,80,7,7,0,,4.33,4.33,0.00,3,,RU,Russian Federation,80,7,0
elastic container registry,200,,7,,,,8.00,,1,1,US,United States,200,7,
pants build,70,7,7,0,,3.75,3.75,0.00,4,,US,United States,70,7,0
earlthy,100,7,7,0,,6.00,6.00,0.00,1,,US,United States,100,7,0
sbom docker image,50,7,7,0,,2.00,2.00,0.00,1,,US,United States,50,7,0
bash string manipulation,320,8,7,-1,,7.80,7.80,0.00,5,,DE,Germany,320,7,-1
read file bash,100,7,7,0,,6.30,6.10,-0.20,10,,FR,France,100,7,0
ecs tutorial,140,9,7,-2,,5.00,6.33,1.33,3,,US,United States,140,7,-2
kaniko vs buildah,20,7,7,0,,1.00,1.00,0.00,1,,US,United States,20,7,0
makefile variables,70,52,7,-45,,1.92,2.15,0.23,13,,US,United States,70,7,-45
go workspaces,160,8,7,-1,,7.11,7.17,0.06,6,-3,US,United States,160,7,-1
ninja install,270,6,7,1,,8.33,9.00,0.67,4,1,US,United States,270,7,1
make for windows,270,7,7,0,,7.27,7.20,-0.07,10,-1,IN,India,270,7,0
bash conditions,160,5,7,2,,8.25,7.60,-0.65,5,1,RU,Russian Federation,160,7,2
sbom container,200,17,7,-10,,4.00,8.00,4.00,1,,US,United States,200,7,-10
how to make a python package,100,4,7,3,,7.00,7.00,0.00,1,,US,United States,100,7,3
create venv python,2800,5,7,2,,25.00,26.43,1.43,7,4,IN,India,2800,7,2
python setup.py,210,2,7,5,,11.00,9.00,-2.00,4,,SG,Singapore,210,7,5
python make file,70,7,7,0,,3.14,2.86,-0.29,7,,US,United States,70,7,0
use of echo command in linux,60,5,7,3,,6.00,3.00,-3.00,1,,IN,India,60,7,3
yaml safe load,200,6,7,1,,8.00,7.80,-0.20,5,1,US,United States,200,7,1
grpc golang example,60,7,7,0,,3.50,3.50,0.00,2,,US,United States,60,7,0
python concat list,250,5,7,2,,9.07,9.00,-0.07,16,1,KR,South Korea,250,7,2
error handling in golang,80,8,7,-1,,6.50,5.50,-1.00,2,,IN,India,80,7,-1
makefile for python,20,8,7,-1,,1.00,1.50,0.50,2,,US,United States,20,7,-1
how to use makefile in vscode,20,7,7,0,,2.00,1.00,-1.00,1,,US,United States,20,7,0
grpc golang,200,7,,,,8.00,,,0,-1,RU,Russian Federation,200,7,
shell script sleep,140,5,7,2,,6.83,7.29,0.45,7,1,US,United States,140,7,2
how to run makefile in windows,80,9,7,-2,,5.50,6.00,0.50,2,,IN,India,80,7,-2
makefile vs cmake,70,7,7,0,,4.50,4.50,0.00,2,,US,United States,70,7,0
magic methods in python,300,,7,,,,11.00,,1,1,IN,India,300,7,
python subprocess,7150,7,7,0,,14.57,15.22,0.65,9,2,NL,Netherlands,7150,7,0
bash if statements,100,7,,,,8.00,,,0,-1,US,United States,100,7,
gazelle bazel,90,8,7,-2,,4.50,5.00,0.50,2,,US,United States,90,7,-2
go workspace,200,11,7,-5,,7.33,8.56,1.22,9,,US,United States,200,7,-5
what does the echo command do in linux,90,7,7,0,,5.00,5.00,0.00,1,,US,United States,90,7,0
flux vs argo,60,7,7,0,,3.00,4.00,1.00,1,,US,United States,60,7,0
docker pull through cache,60,5,7,1,,4.00,3.00,-1.00,1,,US,United States,60,7,1
how to use portainer,70,7,7,0,,4.00,5.00,1.00,1,,US,United States,70,7,0
terraform cdk,220,10,7,-4,,9.57,9.20,-0.37,5,-2,GB,United Kingdom,220,7,-4
docker vs lxc,170,7,6,-1,,7.62,8.12,0.50,8,,GB,United Kingdom,170,6,-1
monorepo nx,70,5,6,1,,5.00,4.00,-1.00,1,,US,United States,70,6,1
terraform depends_on,300,14,6,-7,,10.00,9.80,-0.20,5,-8,US,United States,300,6,-7
vite monorepo,90,7,6,0,,6.00,6.67,0.67,3,,US,United States,90,6,0
concat two lists python,180,6,6,0,,8.60,8.40,-0.20,10,,US,United States,180,6,0
what is turborepo,80,4,6,2,,8.00,6.00,-2.00,1,,US,United States,80,6,2
jq select contains,160,6,6,0,,8.00,8.38,0.38,8,,US,United States,160,6,0
jq syntax,240,4,6,3,,10.33,9.00,-1.33,3,,US,United States,240,6,3
power level 10k,110,7,6,-1,,6.57,7.50,0.93,6,-1,US,United States,110,6,-1
concat lists python,220,5,6,1,,9.25,8.69,-0.56,13,1,US,United States,220,6,1
how to import csv file in python,180,9,6,-3,,7.83,8.83,1.00,6,,IN,India,180,6,-3
docker run network,150,6,6,0,,7.00,7.00,0.00,1,,DE,Germany,150,6,0
concurrency github actions,70,6,6,0,,5.00,5.00,0.00,1,,US,United States,70,6,0
gorm golang,120,15,6,-9,,6.88,7.08,0.21,12,-4,IN,India,120,6,-9
from abc import abc,150,6,6,0,,9.00,9.00,0.00,1,,US,United States,150,6,0
github action composite,40,6,6,0,,3.00,3.00,0.00,3,,US,United States,40,6,0
what does echo do in terminal,80,3,6,3,,8.00,5.00,-3.00,1,,US,United States,80,6,3
kubernetes reverse proxy,60,7,6,-1,,3.00,3.50,0.50,2,,US,United States,60,6,-1
npm workspaces monorepo,50,6,6,0,,3.00,3.00,0.00,1,,US,United States,50,6,0
mysql docker image,530,6,6,0,,11.75,13.20,1.45,5,1,DE,Germany,530,6,0
python cosine similarity,180,15,6,-10,,8.50,9.00,0.50,5,-3,US,United States,180,6,-10
streamlit dashboard,800,2,6,4,,22.00,18.50,-3.50,2,,US,United States,800,6,4
bash script sleep,190,4,6,1,,9.40,8.50,-0.90,6,1,US,United States,190,6,1
go grpc example,40,6,6,0,,3.00,3.00,0.00,1,,US,United States,40,6,0
advanced git,120,1,6,5,,7.00,7.00,0.00,2,1,IN,India,120,6,5
lerna monorepo,80,7,6,-1,,5.00,6.20,1.20,5,1,US,United States,80,6,-1
docker network connect,130,5,6,0,,7.83,8.50,0.67,6,,DE,Germany,130,6,0
jq select examples,40,6,6,0,,3.00,2.67,-0.33,3,,US,United States,40,6,0
multi stage build docker,110,5,6,0,,7.25,7.25,0.00,4,,DE,Germany,110,6,0
docker init,160,,6,,,,9.00,,2,2,US,United States,160,6,
rust generics,240,18,6,-13,,8.00,10.00,2.00,2,-2,US,United States,240,6,-13
polyrepo,200,4,6,1,,10.00,9.00,-1.00,1,,US,United States,200,6,1
bash sleep command,220,12,6,-6,,8.75,9.00,0.25,2,-2,US,United States,220,6,-6
python abc module,100,7,6,-1,,7.00,8.00,1.00,1,,US,United States,100,6,-1
syslog analysis,90,,6,,,,6.00,,1,1,US,United States,90,6,
python subprocess.run,550,5,5,1,,15.33,14.50,-0.83,2,-1,DE,Germany,550,5,1
install make windows,140,2,5,4,,8.00,8.00,0.00,5,,FR,France,140,5,4
travis ci bitbucket,40,5,5,0,,2.00,2.00,0.00,1,,US,United States,40,5,0
list concatenation python,220,3,5,2,,10.00,9.60,-0.40,5,,US,United States,220,5,2
go zip,40,5,5,0,,3.00,3.00,0.00,1,,US,United States,40,5,0
awk example,110,7,5,-1,,6.00,8.75,2.75,4,1,US,United States,110,5,-1
python data classes,170,5,5,0,,9.75,9.50,-0.25,2,-2,US,United States,170,5,0
lima vm,110,7,5,-2,,5.20,5.60,0.40,5,,US,United States,110,5,-2
python closure,340,7,5,-2,,9.38,9.83,0.46,6,-2,DE,Germany,340,5,-2
golang read csv,50,2,5,3,,7.00,3.00,-4.00,1,,US,United States,50,5,3
# /bin/bash meaning,160,6,5,0,,8.50,8.00,-0.50,4,,IN,India,160,5,0
how to create a python package,70,5,,,,6.00,,,0,-1,US,United States,70,5,
ninja build system,190,4,5,1,,10.50,10.00,-0.50,2,,US,United States,190,5,1
where docker images are stored,110,5,5,0,,6.50,6.50,0.00,4,,US,United States,110,5,0
how to use echo command in linux,70,4,5,1,,6.50,5.50,-1.00,2,,IN,India,70,5,1
abstract base class python,150,5,5,0,,10.50,10.00,-0.50,1,-1,US,United States,150,5,0
postgres docker,8600,3,5,2,,25.92,25.18,-0.74,17,5,NL,Netherlands,8600,5,2
kubernetes vs docker compose,300,15,5,-10,,8.88,10.75,1.88,4,-4,US,United States,300,5,-10
making a python package,150,7,5,-1,,7.00,8.00,1.00,1,,US,United States,150,5,-1
jq query,160,7,5,-2,,7.83,8.50,0.67,6,,US,United States,160,5,-2
canary deployment kubernetes,210,1,5,4,,8.00,9.50,1.50,2,,DE,Germany,210,5,4
csv reader python,560,6,5,-1,,12.00,11.20,-0.80,5,,DE,Germany,560,5,-1
bash variables,820,0,5,5,,12.00,10.67,-1.33,6,3,GB,United Kingdom,820,5,5
multistage dockerfile,70,8,5,-3,,7.60,7.00,-0.60,3,-2,DE,Germany,70,5,-3
terraform docker aws,10,5,5,0,,1.00,1.00,0.00,1,,US,United States,10,5,0
yaml dump python,70,5,5,0,,5.75,5.00,-0.75,4,,US,United States,70,5,0
concat list python,220,4,5,1,,9.90,9.77,-0.13,13,3,US,United States,220,5,1
composite action,40,5,5,0,,4.00,3.00,-1.00,1,,US,United States,40,5,0
python logging level,110,1,5,4,,9.50,8.50,-1.00,2,,GB,United Kingdom,110,5,4
bin bash,910,4,5,1,,12.50,7.29,-5.21,7,1,SG,Singapore,910,5,1
docker slim,160,5,5,0,,9.00,9.00,0.00,6,1,DE,Germany,160,5,0
open csv file python,80,6,5,-1,,7.12,8.00,0.88,9,1,GB,United Kingdom,80,5,-1
