Keyword,Volume,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous average position,Current average position,Position change,Current locations,Locations change,Top location code,Top location,Top location's volume,Top location's traffic,Top location's traffic change
cheerio npm,250,,0,,,,87.00,,1,1,IN,India,250,0,
kafka tutorial spring boot,350,,0,,,,89.00,,1,1,IN,India,350,0,
c# fluent validation,0,0,0,0,,68.00,68.00,0.00,1,,US,United States,0,0,0
google.oauth2 python,0,0,0,0,,68.00,68.00,0.00,1,,US,United States,0,0,0
google amp validator,10,0,0,0,,74.00,74.00,0.00,1,,US,United States,10,0,0
kotlin async,40,0,,,,81.00,,,0,-1,DE,Germany,40,0,
.net vs java which is better,10,0,0,0,,78.00,78.00,0.00,1,,IN,India,10,0,0
ifttt network error 1,0,,0,,,,66.00,,1,1,US,United States,0,0,
linq sql,50,0,0,0,,82.00,82.00,0.00,1,,US,United States,50,0,0
rubber duck programming,30,0,0,0,,86.50,81.00,-5.50,1,-1,DK,Denmark,30,0,0
kotlin to java converter,10,0,0,0,,83.50,76.00,-7.50,1,-1,PK,Pakistan,10,0,0
sortable js,150,,0,,,,90.00,,1,1,US,United States,150,0,
eclipse c ide,0,0,0,0,,74.00,74.00,0.00,1,,US,United States,0,0,0
node winston logger,10,,0,,,,80.00,,1,1,US,United States,10,0,
python error finder,100,,0,,,,92.00,,1,1,IN,India,100,0,
python to c++ converter,90,0,,,,91.00,,,0,-1,IN,India,90,0,
quarkus vs spring boot,150,0,,,,96.00,,,0,-1,BR,Brazil,150,0,
online java gdb compiler,200,,0,,,,97.00,,1,1,IN,India,200,0,
npm airtable,0,0,0,0,,80.00,80.00,0.00,1,,US,United States,0,0,0
what is gsoc,400,,0,,,,101.00,,1,1,IN,India,400,0,
scala string builder,10,0,0,0,,83.00,83.00,0.00,1,,US,United States,10,0,0
aws amplify install,0,0,,,,82.00,,,0,-1,US,United States,0,0,
learning rust,80,0,0,0,,97.00,97.00,0.00,1,,DE,Germany,80,0,0
gitlab nuget,0,0,0,0,,83.00,83.00,0.00,1,,US,United States,0,0,0
gatsby js,20,0,0,0,,92.00,92.00,0.00,1,,PK,Pakistan,20,0,0
vmware tanzu,20,0,,,,94.00,,,0,-1,HK,Hong Kong,20,0,
golang linter,0,0,,,,87.00,,,0,-1,DE,Germany,0,0,
kubernetes linter,0,0,0,0,,93.00,93.00,0.00,1,,US,United States,0,0,0
node js api gateway,10,0,0,0,,99.00,99.00,0.00,1,,IN,India,10,0,0
docker django nginx,10,0,0,0,,100.00,100.00,0.00,1,,US,United States,10,0,0
isomorphic graph,2000,0,,,,97.00,,,0,-1,IN,India,2000,0,
thread safe in java,400,0,,,,91.00,,,0,-1,IN,India,400,0,
java projects for beginners,150,,0,,,,102.00,,1,1,US,United States,150,0,
dev c++,1300,,0,,,,95.00,,4,4,PY,Paraguay,1300,0,
jx6,250,0,0,0,,55.50,35.00,-20.50,1,-1,US,United States,250,0,0
timer python,200,0,,,,87.00,,,0,-1,US,United States,200,0,
django projects github,250,,0,,,,57.00,,1,1,IN,India,250,0,
pwndbg,450,,0,,,,43.00,,1,1,US,United States,450,0,
pyroscope,50,0,0,0,,47.00,47.00,0.00,1,,SG,Singapore,50,0,0
jsdom,230,0,0,0,,57.00,54.50,-2.50,2,-1,MX,Mexico,230,0,0
kedro,200,0,0,0,,61.00,50.00,-11.00,1,,US,United States,200,0,0
go-ethereum,40,0,0,0,,55.00,55.00,0.00,1,,HK,Hong Kong,40,0,0
gatsbyjs,0,0,0,0,,51.50,54.00,2.50,1,-1,FR,France,0,0,0
zenml,250,,0,,,,56.00,,1,1,DE,Germany,250,0,
native script,40,0,0,0,,57.00,57.00,0.00,1,,PL,Poland,40,0,0
docker wordpress,200,0,,,,87.00,,,0,-1,DE,Germany,200,0,
tooljet,100,0,,,,63.00,,,0,-1,CA,Canada,100,0,
mlflow,10,0,0,0,,68.00,68.00,0.00,1,,MN,Mongolia,10,0,0
nativescript,150,,0,,,,55.00,,1,1,ID,Indonesia,150,0,
yugabytedb,350,,0,,,,76.00,,1,1,US,United States,350,0,
quarkus,400,0,0,0,,95.50,85.00,-10.50,1,-1,BE,Belgium,400,0,0
mlfow,10,0,0,0,,85.00,85.00,0.00,1,,KR,South Korea,10,0,0
pywinauto,350,,0,,,,88.00,,1,1,JP,Japan,350,0,
dev-c++,200,0,0,0,,97.00,90.00,-7.00,1,,MX,Mexico,200,0,0
dokuwiki,300,0,0,0,,94.00,95.00,1.00,1,-1,RO,Romania,300,0,0
cython,450,0,,,,96.50,,,0,-2,TR,Turkey,450,0,
start oneframework.net blog,0,,0,,,,7.00,,1,1,GB,United Kingdom,0,0,
open source c++ projects,50,,0,,,,1.00,,1,1,US,United States,50,0,
start # oneframework.net blog,0,,0,,,,7.00,,1,1,CA,Canada,0,0,
c++ open source projects,120,0,0,0,,1.00,1.00,0.00,2,1,IN,India,120,0,0
