#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages
30,github backup,us,13,200,6.00,,github backup,2025-12-19 17:48:34,"AI Overview,Sitelinks,People also ask,Video preview",800,200,400,2016-05-08,"Informational,Branded,Non-local",English
31,github package registry,us,60,200,0.50,,github package registry,2025-11-25 07:45:25,"AI Overview,Sitelinks,People also ask",700,200,500,2018-03-08,"Informational,Branded,Non-local",English
32,github actions docker,us,16,150,1.30,,github actions docker,2025-12-03 08:42:18,"AI Overview,Sitelinks,Video preview,Top stories,Thumbnail",800,200,500,2019-12-18,"Informational,Branded,Non-local",English
33,github deployment,us,3,150,5.00,,github deployment,2025-12-19 22:29:48,"Sitelinks,People also ask",600,300,500,2016-12-26,"Informational,Branded,Non-local",English
34,github copilot for business pricing,us,50,150,1.50,,github copilot,2025-11-19 01:49:47,"Sitelinks,People also ask",200,4000,11000,2023-01-20,"Informational,Commercial,Branded,Non-local",English
35,github actions self hosted runner,us,0,150,,,github self hosted runners,2025-11-29 11:16:11,"Sitelinks,AI Overview",700,400,800,2020-01-16,"Informational,Branded,Non-local",English
36,github migration,us,0,90,,,github migration,2025-11-27 14:49:30,"Sitelinks,People also ask",300,40,50,2015-12-16,"Informational,Branded,Non-local",English
37,github actions aws,us,9,70,,,github actions aws,2025-11-25 13:36:21,"AI Overview,Thumbnail,Sitelinks",200,60,100,2020-01-14,"Informational,Branded,Non-local",English
38,github actions deploy,us,2,40,1.70,,github deployments,2025-11-16 04:15:26,"AI Overview,Sitelinks,Top stories,Thumbnail,Video preview,Discussions",150,350,600,2020-01-18,"Informational,Branded,Non-local",English
39,github team vs enterprise,us,2,30,,,github pro,2025-11-21 07:50:52,"Sitelinks,AI Overview,People also ask,Discussions",90,3100,6500,2020-05-08,"Informational,Branded,Non-local",English
40,github pages vs vercel,us,,30,,,,,,80,,,2020-10-26,,
41,github pages vs netlify,us,1,20,,,netlify vs github pages,2025-12-04 02:45:41,"AI Overview,Thumbnail,Sitelinks,People also ask,Discussions",60,60,60,2019-05-07,"Informational,Branded,Non-local",English
42,bitbucket to github,us,4,20,,,bitbucket to github migration,2025-11-14 17:01:17,"Featured snippet,Sitelinks,People also ask",70,60,90,2015-09-21,"Informational,Branded,Non-local",English
43,gitlab to github,us,0,20,,,migrate from gitlab to github,2025-12-08 09:14:03,"Sitelinks,Thumbnail",100,30,50,2017-10-30,"Informational,Branded,Non-local",English
44,github actions azure,us,14,10,,,what is github actions,2025-12-08 18:37:46,"Sitelinks,Video preview",30,100,400,2020-01-13,"Informational,Branded,Non-local",English
45,github release automation,us,,10,,,,,,20,,,2017-02-21,,
46,github pages alternatives,us,0,10,5.00,,github pages alternative,2025-12-15 21:49:56,"Sitelinks,People also ask",20,10,10,2016-01-05,"Informational,Branded,Non-local",English
