Keyword,Volume,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous average position,Current average position,Position change,Current locations,Locations change,Top location code,Top location,Top location's volume,Top location's traffic,Top location's traffic change
how to find open source projects,10,1,1,0,,4.00,5.00,1.00,1,,US,United States,10,1,0
monkeytype badges,20,,1,,,,9.00,,1,1,US,United States,20,1,
how to contribute in open source,10,0,1,0,,7.00,7.00,0.00,1,,IN,India,10,1,0
frontend maven plugin,30,1,,,,13.00,,,0,-1,US,United States,30,1,
java open source projects,100,2,0,-2,,13.00,21.00,8.00,1,-1,IN,India,100,0,-2
code projects.org,400,0,0,0,,21.00,25.00,4.00,1,,IN,India,400,0,0
absinthe dataloader,10,,0,,,,10.00,,1,1,US,United States,10,0,
where to find open source projects,10,1,0,0,,3.00,7.00,4.00,1,,US,United States,10,0,0
open source repositories,10,0,0,0,,8.00,9.00,1.00,1,,IN,India,10,0,0
open source projects that need help,0,0,0,0,,3.00,3.00,0.00,1,,US,United States,0,0,0
opensource projects,10,0,,,,10.00,,,0,-1,CA,Canada,10,0,
grabcam github,0,0,0,0,,10.00,10.00,0.00,1,,IN,India,0,0,0
awesome neovim,20,0,0,0,,22.00,22.00,0.00,1,,VN,Vietnam,20,0,0
vulture python,20,0,0,0,,29.00,29.00,0.00,1,,US,United States,20,0,0
code-project. org,250,0,0,0,,41.00,41.00,0.00,1,,IN,India,250,0,0
good first issue,450,0,,,,59.00,,,0,-1,IN,India,450,0,
osgameclones,20,0,,,,5.00,,,0,-1,RU,Russian Federation,20,0,
squash commits,100,0,,,,55.00,,,0,-1,RU,Russian Federation,100,0,
source code repository,350,0,0,0,,72.00,62.00,-10.00,1,,US,United States,350,0,0
open source code,1000,0,0,0,,52.00,78.00,26.00,2,1,US,United States,1000,0,0
code repository,1100,0,0,0,,98.00,82.50,-15.50,2,1,IN,India,1100,0,0
latentflip,30,,0,,,,7.00,,1,1,IN,India,30,0,
open source,750,,0,,,,92.67,,3,3,AE,United Arab Emirates,750,0,
type-fest,360,0,0,0,,11.67,11.00,-0.67,2,-1,DE,Germany,360,0,0
mmpretrain,20,0,,,,8.00,,,0,-1,US,United States,20,0,
jraft,10,,0,,,,9.00,,1,1,US,United States,10,0,
what is code repository,30,0,,,,93.00,,,0,-1,IN,India,30,0,
returntocorp,10,0,,,,8.00,,,0,-1,US,United States,10,0,
frontend-maven-plugin,290,0,,,,12.50,,,0,-2,IN,India,290,0,
osintgram,2460,0,0,0,,17.25,21.00,3.75,5,1,SA,Saudi Arabia,2460,0,0
opensource,20,0,0,0,,85.50,96.00,10.50,1,-1,IN,India,20,0,0
patchworkmc,0,,0,,,,9.00,,1,1,US,United States,0,0,
bakape,0,,0,,,,9.00,,1,1,MX,Mexico,0,0,
cep-promise,0,,0,,,,11.00,,1,1,BR,Brazil,0,0,
antalmanac,1100,,0,,,,10.00,,1,1,US,United States,1100,0,
jd gui,450,,0,,,,24.50,,2,2,IN,India,450,0,
cutime,100,0,0,0,,16.00,16.00,0.00,1,,US,United States,100,0,0
downgit,250,0,0,0,,20.00,20.00,0.00,1,,IN,India,250,0,0
jd-gui,700,0,0,0,,19.50,22.00,2.50,2,,US,United States,700,0,0
bgfx,400,0,,,,29.00,,,0,-1,US,United States,400,0,
codebrag,40,0,,,,34.00,,,0,-1,US,United States,40,0,
mockk,300,0,0,0,,31.00,36.00,5.00,1,,US,United States,300,0,0
code project,1300,0,0,0,,41.00,45.33,4.33,3,1,US,United States,1300,0,0
lenster,0,0,,,,49.00,,,0,-1,MY,Malaysia,0,0,
javascript.info,250,0,0,0,,55.00,48.00,-7.00,1,,IN,India,250,0,0
wudt,0,0,,,,8.00,,,0,-1,ES,Spain,0,0,
to offer support to opensource developers,0,0,,,,5.00,,,0,-1,US,United States,0,0,
621684365,0,,0,,,,8.00,,1,1,ES,Spain,0,0,
